Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Inflation, consumer prices (annual %)","Foreign direct investment, net inflows (% of GDP)",Trade (% of GDP),Gini index,"Population, total",Population growth (annual %),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Literacy rate, adult total (% of people ages 15 and above)","School enrollment, primary (% gross)",Urban population (% of total population),Access to electricity (% of population),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Renewable energy consumption (% of total final energy consumption),Forest area (% of land area),Control of Corruption: Percentile Rank,Political Stability and Absence of Violence/Terrorism: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,Voice and Accountability: Estimate,Individuals using the Internet (% of population),Research and development expenditure (% of GDP),High-technology exports (% of manufactured exports)
India,2011,1.82305E+12,5.241316199,1449.603301,8.222,8.911793365,2.002063463,55.62388001,35.4,1257621191,1.361588085,22.9,67.359,44.6,69,109.7079029,31.276,79.5,86.76390529,45.68459284,1.472025689,61.70862421,35,23.46382169,35.54502487,-1.32679534,-0.363154948,-0.08629714,0.435818583,10.07,0.755020022,7.868565007
India,2012,1.82764E+12,5.456387552,1434.017987,8.156,9.478996914,1.31293453,55.79372173,,1274487215,1.33219205,..,67.887,42.5,..,111.7755737,31.634,79.9,87.37450795,48.6803119,1.587754099,74.00316075,34.8,23.55342242,36.4928894,-1.289309859,-0.480885625,-0.062880747,0.399454206,11.1,0.743990004,7.699918013
India,2013,1.85672E+12,6.386106401,1438.057005,8.088,10.01787847,1.516276467,53.84413195,,1291132063,1.297548835,..,68.46,40.5,..,113.4167786,32.003,83.1,87.98236686,51.69445375,1.614204433,76.25017683,34.9,23.64302315,36.96682358,-1.229174137,-0.478094786,-0.045691311,0.432780147,12.3,0.706420004,8.86996678
India,2014,2.03913E+12,7.410227605,1559.863779,7.992,6.665656719,1.69565959,48.92218575,,1307246509,1.240362184,..,69.074,38.5,..,111.5845413,32.384,85.1,88.58737184,54.72651883,1.716173028,79.03739571,33.9,23.73262388,39.90384674,-0.99791199,-0.475076437,-0.068644837,0.41331318,13.5,0.701590002,9.217166203
India,2015,2.10359E+12,7.996253786,1590.174331,7.894,4.906973441,2.092115214,41.92291387,34.7,1322866505,1.18779532,18.8,69.636,36.5,..,112.9378433,32.777,88,89.1893093,57.77572014,1.7087762,73.81099141,33.4,23.82222461,42.8571434,-0.954773545,-0.424956709,-0.069937095,0.427884758,14.9,0.693099976,8.021878855
India,2016,2.2948E+12,8.256305502,1714.279537,7.8,4.948216341,1.937364122,40.08248571,34.7,1338636340,1.185046229,18.1,70.117,34.7,..,119.5128326,33.182,89.6,89.78796094,60.84125721,1.720957538,75.78900353,33,23.91182535,43.80952454,-0.960426509,-0.311531931,-0.055489417,0.440999389,16.5,0.669839978,7.660357231
India,2017,2.65147E+12,6.795383419,1957.969813,7.723,3.328173375,1.507315833,40.74249695,35.9,1354195680,1.155624491,13.4,70.467,32.9,..,117.8681717,33.6,91.8,90.38318358,63.83038915,1.797468295,67.31227139,32.5,24.00142608,45.7142868,-0.774099052,-0.256514043,-0.029448533,0.387068421,18.2,0.66602999,7.360672823
India,2018,2.70293E+12,6.453851345,1974.377731,7.652,3.938826467,1.558214838,43.61696933,34.5,1369003306,1.087527722,11.1,70.71,31.3,..,101.097956,34.03,95.7,90.97467558,66.74811677,1.879912407,68.12095251,32.9,24.09102681,47.61904907,-0.997705162,-0.225996733,-0.000957083,0.360433936,20.0813,0.66000998,9.03473422
India,2019,2.83561E+12,3.871436941,2050.1638,6.51,3.729505735,1.78482634,39.90540353,33.8,1383112050,1.025310772,13.2,70.91,29.7,..,99.50392361,34.472,95.9,91.56222114,69.66314609,1.83742597,59.89198088,33.5,24.18062754,44.76190567,-0.796840608,-0.150565445,-0.06662368,0.268094271,29.5235,0.659420013,10.22349936
India,2020,2.67485E+12,-5.777724707,1915.551588,7.859,6.623436776,2.406203227,37.75810533,33.8,1396387127,0.955220858,15.5,70.15,28.1,..,101.2912534,34.926,96.5,92.14560477,72.57510232,1.661916424,48.39481152,36.1,24.27022827,45.23809433,-0.841136158,-0.128488675,-0.057718564,0.126321062,43.4054,0.64635998,11.0322568
India,2021,3.16727E+12,9.689592492,2250.179018,6.38,5.131407472,1.41217101,45.42308878,32.8,1407563842,0.797216094,12.9,67.24,26.8,..,102.3161233,35.393,99.6,92.72465388,75.48373765,1.796105743,..,34.9,24.35982901,45.23809433,-0.691997945,-0.090854593,-0.108277,0.090988867,..,..,10.21221554
India,2022,3.35347E+12,6.987039326,2366.309609,4.822,6.699034141,1.489211205,49.96531997,,1417173173,0.680372581,..,67.744,25.5,76,111.0844556,35.872,99.2,93.29909578,78.38855995,1.90028583,..,..,..,44.3396225,-0.568608165,-0.050446417,0.114700042,0.050905809,..,..,12.48172802
India,2023,3.54992E+12,7.583971124,2484.845429,4.172,5.649143189,0.7907283,45.85392815,,1428627663,0.805014301,..,..,..,77,112.0312309,36.364,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Maldives,2000,624337145.3,3.845810232,2209.988231,1.97,-1.174756812,3.573781889,,,282507,1.568301447,..,70.876,31.8,96,127.2887802,27.706,83.8,93.81617524,74.85341458,2.484186233,16.80604798,2.3,2.733333333,47.3404274,1.180719733,0.98718679,0.253678381,-0.758386791,2.20387,..,..
Maldives,2001,870031676.8,-3.943634289,3028.05083,3.062,0.67257737,2.360954642,,,287324,1.690716983,..,72.181,28.7,..,124.8510818,28.859,87.5,94.19996753,76.26215418,2.100068216,16.56951346,2.3,2.733333333,..,..,..,..,..,3.61729,..,..
Maldives,2002,897031250,7.26838641,3069.039872,4.142,4.178672399,2.755600741,,41.3,292284,1.711543347,6.6,73.291,25.6,..,122.174881,30.042,88.3,94.57652949,77.65151251,2.46609462,16.42794891,1.8,2.733333333,52.38095093,1.07719624,0.939704359,-0.069341622,-0.839590251,5.34777,..,..
Maldives,2003,1052121055,13.75004966,3539.801547,5.201,-1.260651135,3.020036091,,,297226,1.676685986,..,74.06,22.9,..,121.5269623,31.252,89.1,94.94539745,79.01984957,2.068123246,16.32516338,2.2,2.733333333,57.1428566,1.032264709,0.926884115,0.079446733,-0.999485612,5.97659,..,..
Maldives,2004,1226829563,5.816366933,4060.534405,6.256,-1.685412125,4.314674454,,,302135,1.638114517,..,73.538,21.5,..,120.154892,32.49,90,95.30630475,80.3664466,2.596190445,16.20496593,1.7,2.733333333,46.79803085,0.501932442,-0.015420588,-0.298393637,-1.19482708,6.58825,..,..
Maldives,2005,1163362438,-11.22316621,3789.232024,7.394,1.300275009,4.554996736,,,307018,1.603244043,..,74.751,18.4,..,114.2222672,33.75,90.9,95.6587151,81.68922835,2.369567908,16.01116561,2,2.733333333,41.46341324,0.811711967,0.516670823,0.09036915,-0.979869902,6.86961,..,..
Maldives,2006,1575200391,23.60579828,5010.163424,8.478,2.738421316,4.051980515,,,314401,2.376286342,..,75.13,16.6,98,112.6583786,34.794,91.7,95.99455718,82.94542377,2.815194608,15.71448915,1.6,2.733333333,32.68292618,0.758358777,0.406536967,-0.034912698,-1.005972266,11.0364,..,..
Maldives,2007,1868383461,7.12342766,5746.644258,9.537,6.794773539,7.088056791,,,325126,3.354355829,..,75.686,15.1,..,107.7691498,35.2,92.6,96.3039887,84.0726027,2.698646063,15.31800152,1.5,2.733333333,19.90291214,0.083186485,0.056400053,-0.131116077,-0.927418411,16.3,..,..
Maldives,2008,2271646188,8.979816872,6743.130961,10.515,12.04145835,7.979034445,,,336883,3.552288956,..,76.543,13.9,..,105.4940567,35.61,93.6,96.62838782,85.33349244,2.844014094,14.8140192,1.5,2.733333333,21.35922241,-0.164438739,-0.373797566,-0.171761319,-0.301234484,23.2,..,..
Maldives,2009,2345294875,-8.157763215,6719.330257,11.697,4.530176591,6.735340125,,38.4,349037,3.544224471,3.8,77.069,12.8,..,104.6865768,36.021,99.9,96.94978433,86.58907527,2.925477815,14.19485865,1.5,2.733333333,28.7081337,-0.229707628,-0.38104254,-0.151592925,-0.048458017,24.8,..,..
Maldives,2010,2588176055,6.835471356,7158.061411,10.851,6.149885368,8.363764331,,,361575,3.529155518,..,77.657,11.9,..,102.2071183,36.434,99,97.26817969,87.83941977,2.963700477,13.45283633,1.4,2.733333333,36.66666794,-0.166243851,-0.38403827,-0.319186181,-0.062693395,26.53,..,..
Maldives,2011,2774350240,8.572699128,7409.331909,10.01,11.27341461,15.26594075,,,374440,3.496208754,..,78.124,11.2,..,100.4849151,36.849,99.1,97.58354875,89.08443083,3.119057793,12.07395543,1.3,2.733333333,35.0710907,-0.242630184,-0.38474986,-0.542268932,-0.156640366,34,..,..
Maldives,2012,2886163997,2.363747489,7447.415608,9.142,10.88469566,7.898957472,,,387539,3.438491239,..,78.682,10.4,..,97.55838909,37.267,99.2,97.8958735,90.32412361,3.791102315,12.9660176,1.2,2.733333333,27.96208572,-0.365171462,-0.401814729,-0.544501007,-0.468655318,38.9301,..,..
Maldives,2013,3295009238,6.963246632,8222.558038,8.298,3.805630009,10.95038922,,,400728,3.346640402,..,79.057,9.7,..,95.74953609,37.685,99.4,98.20509988,91.55806361,4.088558823,13.24011392,1.3,2.733333333,25.11848259,0.125037372,-0.457175404,-0.748006761,-0.459633738,44.1,..,..
Maldives,2014,3697353039,7.801094807,8872.128386,7.461,2.120001757,9.016591451,,,416738,3.917483406,..,79.424,9,99,96.80260293,38.106,100,98.51123658,92.78649863,5.323968537,11.72584273,1.2,2.733333333,44.71154022,0.679096162,-0.374468446,-0.520292759,-0.372204363,49.28,..,..
Maldives,2015,4129505319,3.971715703,9480.431513,6.612,0.953206659,7.215779382,,,435582,4.422534092,..,79.695,8.4,..,99.01308833,38.529,99.8,98.8142446,93.97349261,3.740283115,10.80856143,1.5,2.733333333,38.57143021,0.411403716,-0.432607949,-0.587077856,-0.517903209,54.462,..,..
Maldives,2016,4409942624,6.572236066,9708.141349,5.77,0.502509414,10.35476187,,31.3,454252,4.196904224,0,79.872,7.7,98,98.10444614,38.954,100,99.11409292,95.06128905,3.909724118,12.37548719,1.2,2.733333333,31.4285717,0.408033192,-0.495872647,-0.394261837,-0.732977569,59.5,..,0.025307379
Maldives,2017,4816426257,7.054539014,10194.74614,5.376,2.817473382,9.505145292,,,472442,3.926287795,..,79.943,7.1,94.50550842,96.94364239,39.38,99.8,99.41077592,96.13976183,3.967047807,11.33337061,1.3,2.733333333,22.38095284,0.224531189,-0.437854588,-0.63834554,-0.741155207,65,..,0.14397589
Maldives,2018,5404344163,8.668006242,11034.7236,4.959,-0.133373386,10.65176478,,,489758,3.599640348,..,80.013,6.5,..,96.58923605,39.808,100,99.49723018,97.20885134,4.385022807,12.50346193,1.3,2.733333333,18.09523773,0.082971118,-0.531163573,-0.55726546,-0.675655544,70.9,..,..
Maldives,2019,5726094799,7.298335745,11349.85927,4.562,0.220029731,16.78347284,,29.3,504508,2.96723054,0,80.116,6,98.21186066,97.12785002,40.238,100,99.52720781,98.26842792,5.023706264,12.31398191,1.3,2.733333333,46.66666794,0.027608531,-0.551773667,-0.411952257,-0.463619083,77.4697,..,..
Maldives,2020,3712604583,-32.90882878,7216.816377,5.404,-1.369774256,11.87068807,,,514438,1.949134572,..,79.875,5.5,..,97.83045016,40.669,100,99.54444506,99.15534209,3.982598486,12.01239117,1.6,2.733333333,43.33333206,0.362981379,-0.588554084,-0.303693801,-0.323318839,79.0978,..,..
Maldives,2021,5254366312,37.68719229,10076.31753,5.021,0.543149689,12.23421961,,,521457,1.355177392,..,79.918,5.1,97.86000061,..,41.102,100,99.56211426,99.70015787,4.087010051,..,1.4,2.733333333,41.42856979,0.534778357,-0.613875866,-0.186269343,-0.229317337,85.2343,..,2.011251894
Maldives,2022,6170638746,13.90667638,11780.81691,4.424,2.333143376,11.86630965,,,523787,0.445829655,..,80.839,4.8,..,95.36725825,41.536,100,99.55834608,99.70053886,4.164097238,..,1.2,..,39.62264252,0.667752326,-0.657294631,-0.027355907,-0.243848056,83.9119,..,4.096414731
Maldives,2023,6600000000,3.972795846,12667.43567,4.127,2.927465424,11.53812401,,,521021,-0.529476509,..,..,..,..,97.54308686,41.971,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sri Lanka,2000,16330814180,6.000033158,869.7534886,7.74,6.17627591,1.05898829,88.6364417,,18776371,0.565924638,..,70.355,14.4,..,..,18.38,70.3,82.84719118,76.7684659,0.609745089,26.65982245,64.2,34.54664328,50,-1.904112697,0.158748269,0.159529582,-0.190723956,0.64741,0.143920004,..
Sri Lanka,2001,15749753805,-1.545408134,832.4273196,7.9,14.1584558,1.090747209,80.89860153,,18920275,0.763488078,..,70.787,13.8,91,104.3644638,18.365,63.6,83.13201396,77.56522868,0.600213263,26.72280951,62.9,34.44649976,..,..,..,..,..,0.793822,..,..
Sri Lanka,2002,16536535647,3.964675685,865.3021391,8.76,9.55103167,1.188277909,76.33513178,40.2,19110707,1.00146555,11,71.117,13.4,..,102.9921112,18.349,80.7,83.42086603,78.36539126,0.621682913,26.72066158,62.1,34.34635624,50.26454926,-0.777628899,0.124769226,0.338851631,-0.088549092,1.05042,..,..
Sri Lanka,2003,18881765437,5.940269078,978.1686456,8.22,6.314637871,1.211327409,75.33624733,,19303180,1.002109527,..,71.373,13,..,100.4747314,18.334,75,83.70986532,79.1689156,0.665569093,26.64635358,61.3,34.24621273,47.61904907,-0.833158433,0.034730762,0.244941875,-0.092452683,1.45858,..,..
Sri Lanka,2004,20662525941,5.445061279,1060.136943,8.38,7.57592583,1.126677351,79.4829449,,19490431,0.9653778,..,67.091,17.6,..,96.01554108,18.319,76.5,83.99888305,79.97582616,0.681195813,26.49286042,61.6,34.14606921,50.73891449,-1.010440588,-0.083361119,0.21113658,-0.164139301,1.44616,0.182099998,..
Sri Lanka,2005,24405791045,6.241748044,1240.518312,7.67,11.6396861,1.116128543,73.60397296,,19673866,0.936752887,..,72.118,12.1,..,98.10224152,18.303,78.1,84.28778189,80.78612958,0.732880868,26.25315698,60.1,34.04592569,46.82926941,-1.152236819,-0.423394442,0.158469424,-0.206795961,1.79205,..,..
Sri Lanka,2006,28279802406,7.668291901,1423.190621,6.5,10.02018361,1.69626362,71.26117849,39.7,19870706,0.995543084,5.6,71.969,11.5,91,97.6338501,18.288,82.1,84.57683092,81.59980672,0.648623154,25.85834859,62.2,33.94578217,51.21951294,-1.421550751,-0.272532344,0.177752674,-0.310158849,2.53757,0.174199998,..
Sri Lanka,2007,32350238760,6.796826119,1611.175587,5.97,15.84211149,1.863973878,68.60651166,,20078655,1.041072362,..,72.049,10.8,..,96.77477264,18.272,80,84.86576533,82.41687667,0.702880746,25.24261851,60.2,33.84563865,52.91262054,-1.751283646,-0.297004074,0.131876916,-0.435254872,3.88,..,..
Sri Lanka,2008,40713826215,5.950088145,2007.026655,5.22,22.56449553,1.847529623,63.36904361,,20285643,1.025608395,..,71.729,10.3,91,95.73592377,18.257,82.9,85.15484745,83.2373247,0.655636107,24.40355857,61.6,33.74549514,50.48543549,-1.798595548,-0.385201991,-0.000771665,-0.464874476,..,0.114440002,1.877681292
Sri Lanka,2009,42066224093,3.538912053,2053.766451,5.85,3.464963221,0.960390453,49.14914153,36.1,20482477,0.965634567,3.5,69.187,13.6,..,93.38205719,18.242,87.1,85.44394294,84.06115683,0.623747802,23.33876057,63.5,33.64535162,42.5837326,-1.340903044,-0.294943988,-0.101635471,-0.480314404,..,..,0.97931972
Sri Lanka,2010,58636161082,8.01596737,2836.974109,4.784,6.217648893,0.814444519,,,20668557,0.904381981,..,73.215,9.6,91,97.78184632,18.226,85.3,85.73292143,84.88837381,0.653978892,22.04581633,61.9,33.5452081,41.90476227,-0.942946851,-0.248191312,-0.118414134,-0.505228579,..,0.132410005,1.1300716
Sri Lanka,2011,67753284044,8.669483012,3248.04021,4.118,6.716768436,1.41088364,,,20859743,0.920756933,..,73.38,9.3,..,97.40403698,18.211,87.8,86.022042,85.71897215,0.762545349,19.30672088,56.4,33.62557806,42.65402985,-0.72477144,-0.131351128,-0.117064774,-0.545052946,..,..,1.035499489
Sri Lanka,2012,70447216891,8.63218138,3351.892476,3.88,7.542913732,1.335917347,,38.7,21017147,0.751749909,2.6,73.906,8.9,..,97.17951847,18.196,87,86.31118264,86.55296335,0.851347711,20.91318537,52.9,33.70594801,50.23696518,-0.717079222,-0.125741094,-0.114084356,-0.575279295,..,..,0.950917429
Sri Lanka,2013,77000578167,4.051746329,3643.832447,4.186,6.908450348,1.211096514,,,21131756,0.543830441,..,74.239,8.4,..,97.27498045,18.198,90.2,86.60239813,87.39031175,0.702052399,21.9721782,56.9,33.78631797,52.13270187,-0.612895429,-0.166235015,-0.265588671,-0.594175637,..,0.0973,1.039212636
Sri Lanka,2014,82528535714,6.377978893,3885.623616,4.157,3.179002282,1.082812112,,,21239457,0.508369831,..,74.651,8,..,97.43375161,18.218,92.7,86.89574122,88.23107342,0.841787057,19.78312654,54.2,33.86668793,45.67307663,-0.330464035,-0.10895326,-0.149271369,-0.667191744,10.5,0.096050002,0.954465708
Sri Lanka,2015,85140955389,4.205955476,3990.353117,4.519,3.768367831,0.798271104,46.91797081,,21336697,0.456782306,..,74.927,7.5,..,97.529105,18.256,94.3,87.19113279,89.07529907,0.923680924,17.91170462,51.3,34.39516585,43.33333206,0.083182663,-0.0587589,0.031726025,-0.29613018,15.26,0.102909997,0.891656274
Sri Lanka,2016,88012282206,5.053624893,4107.829775,4.243,3.958888466,1.019232036,46.47153703,39.3,21425494,0.415306726,1.3,75.331,7.1,92,97.53140438,18.311,97.5,87.48839096,89.92305123,1.096072744,19.52137197,45.1,34.34411,44.2857132,-0.01134005,-0.123026699,0.107241459,-0.081050552,22.19,0.120339997,0.943903914
Sri Lanka,2017,94376237797,6.460681271,4388.201906,4.046,7.704137679,1.454521896,47.1404098,,21506813,0.378824726,..,75.403,6.8,92,97.64883842,18.384,97.5,87.78755272,90.774373,1.088162156,18.34920163,45.8,34.29305414,39.52381134,-0.07544852,-0.162157983,0.026702216,-0.061878327,25.1,0.118179999,1.019916648
Sri Lanka,2018,94493871201,2.310084252,4360.584735,4.318,2.135037737,1.708093857,49.80939675,,21670000,0.755904689,..,75.748,6.5,92,97.27960308,18.476,99.6,88.0886564,91.62931766,1.014250115,20.84783509,47.9,34.25804992,42.38095093,-0.139389724,-0.217681855,-0.00040862,-0.008067985,28.3,0.119489998,..
Sri Lanka,2019,89014978344,-0.220483886,4082.694049,4.67,3.528393582,0.835214753,49.42552585,37.7,21803000,0.611875946,1,76.008,6.2,92,97.27720773,18.585,99.8,88.39140851,92.48794077,1.083988442,19.77980365,46.1,34.20671025,44.2857132,-0.215569809,-0.232445598,0.039557587,-0.089097887,32,..,1.102102874
Sri Lanka,2020,84304298771,-4.624515816,3846.174496,5.365,6.153945084,0.5148915,37.0891205,,21919000,0.53062656,..,76.393,6,92,97.47865615,18.713,100,88.69595431,93.35029014,1.011797983,19.96444086,49.3,34.15809893,43.80952454,-0.089156918,-0.225914791,-0.007581946,-0.052087277,36.1847,0.115970001,1.256371154
Sri Lanka,2021,88609332762,4.207485977,3999.338002,5.258,7.014780712,0.668428428,41.22997175,,22156000,1.075449957,..,76.399,5.7,92,96.87175547,18.86,100,89.00221413,94.21641465,0.955510923,..,48.8,34.10701584,42.8571434,-0.376803756,-0.38943544,0.017869212,-0.074099243,44.4531,..,1.045164027
Sri Lanka,2022,74144875098,-7.346764384,3342.720125,6.33,49.72110211,1.19246339,46.68143828,,22181000,0.11277264,..,76.61,5.6,92,95.91586286,19.026,100,89.31010729,95.08636078,0.83566566,..,..,..,40.09434128,-0.785569847,-0.653642833,-0.056925315,-0.191544354,50.1067,..,1.086353124
Sri Lanka,2023,84356860421,-2.298045112,3827.964806,6.36,16.54117423,0.84382728,42.27772006,,22037000,-0.65132077,..,..,..,..,..,19.211,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,2000,5494252208,6.199999982,223.7118919,10.622,2.478820207,-0.008824253,55.710589,,24559500,1.709775886,..,62.614,58.5,..,114.627739,13.397,29.9,79.66978885,13.96430342,0.139225147,57.91037719,88.3,40.32619463,36.70212936,-1.163825631,-0.656351626,-0.210961655,-0.280598551,0.204652,..,..
Nepal,2001,6007055042,4.799892143,240.7051592,10.615,2.688303735,0.347091875,55.79992108,,24956071,1.601837449,..,63.336,55.7,49,107.468277,13.947,24.6,80.32528079,16.51268744,0.146461356,58.28387271,87.8,40.45264737,..,..,..,..,..,0.240015,..,..
Nepal,2002,6050875807,0.120143177,238.8612541,10.655,3.029399487,-0.098374869,46.2307185,,25332178,1.495832606,..,63.264,53.1,..,112.2343216,14.24,36.4,80.93642244,19.07652302,0.117806688,58.76927791,90,40.5791001,40.2116394,-1.717462897,-0.590202868,-0.517511368,-0.79815954,0.312956,..,..
Nepal,2003,6330473097,3.945037761,246.4858378,10.677,5.707009319,0.233443621,44.24788362,43.8,25682908,1.375026697,40.3,64.197,50.7,..,112.0409698,14.538,39.6,81.54126796,21.70987545,0.131916526,59.23544996,89.4,40.70555284,34.92063522,-1.891852379,-0.414270848,-0.61063081,-0.920003414,0.382811,..,..
Nepal,2004,7273938315,4.682603252,279.7242003,10.68,2.841811312,-0.005737557,46.14728672,,26003965,1.242331411,..,64.818,48.5,..,114.8928986,14.841,37.2,82.13971392,24.41227344,0.112555912,59.55124604,90.3,40.83200558,18.22660065,-2.149138451,-0.52077055,-0.753035843,-1.134827137,0.449844,..,..
Nepal,2005,8130258378,3.479181048,309.3104186,10.652,6.836332659,0.030156295,44.06294748,,26285110,1.075359276,..,65.457,46.5,..,115.4856796,15.149,46.1,82.73166532,27.18323537,0.124625691,59.58552333,89.5,40.95845832,23.90243912,-2.098404884,-0.530171871,-0.825216174,-1.146815538,0.826551,..,..
Nepal,2006,9043715356,3.364614781,341.02814,10.659,6.920335807,-0.073509433,44.76198776,,26518971,0.88577445,..,65.868,44.6,..,129.8235474,15.462,51.2,83.31703813,30.02227084,0.102277724,58.32385513,91.2,41.08491106,28.78048706,-1.894450188,-0.523552716,-0.621390879,-0.908803642,1.14139,..,..
Nepal,2007,10325618017,3.41156028,386.5295864,10.672,2.269219244,0.055606415,44.57927502,,26713655,0.731449423,..,66.329,42.9,..,131.2217255,15.781,52.6,83.89582312,32.92902553,0.104512093,55.5324688,91.3,41.21136379,23.30097008,-1.88537848,-0.580034494,-0.588803828,-0.585561931,1.41,..,..
Nepal,2008,12545438605,6.104639144,466.6933791,10.65,9.907830053,0.007932157,46.03620635,,26881544,0.626509659,..,66.421,41.2,..,129.5191956,16.105,56,84.4678254,35.90281154,0.114777633,52.25120261,90.5,41.33781653,21.84465981,-1.834287405,-0.646401107,-0.669306338,-0.496126413,1.73,0.054389998,..
Nepal,2009,12854985464,4.533078725,475.6359761,10.64,11.09482374,0.297715389,47.07944776,,27026941,0.539422885,..,66.761,39.7,..,141.4710999,16.434,59.3,85.03294997,38.94309705,0.150361079,49.51989483,88.9,41.46426927,26.31579018,-1.620081186,-0.722060025,-0.867817461,-0.441024661,1.97,0.259240001,0.428628769
Nepal,2010,16002656434,4.816414647,589.1654349,10.629,9.326504107,0.548294666,45.98490577,32.8,27161567,0.496881283,8.2,66.814,38.2,..,146.5405579,16.768,68.6,85.59110733,42.04934037,0.176153313,48.37838373,87.3,41.59072201,27.1428566,-1.583971143,-0.761707723,-0.959066808,-0.447481632,7.93,0.30219999,0.686184565
Nepal,2011,21573872421,3.421808701,791.2255821,10.653,9.227075461,0.435814931,36.29675889,,27266399,0.38521421,..,67.313,36.7,60,150.3542404,17.108,67.3,86.14227181,45.22110125,0.196593617,57.74057448,87,41.59072201,23.22274971,-1.416443586,-0.734936655,-0.89161092,-0.445125788,9,..,0.415308033
Nepal,2012,21703100877,4.670141924,794.0925641,10.654,9.459809804,0.423691511,37.92190606,,27330694,0.235525469,..,67.47,35.2,..,147.8899892,17.458,75.2,86.68653071,48.45818056,0.228065925,71.40605466,84.7,41.59072201,22.74881554,-1.381232262,-0.805144668,-0.737359285,-0.642363489,11.1493,..,0.136727858
Nepal,2013,22162204925,3.525153171,809.3844533,10.667,9.040163119,0.334712331,41.86537574,,27381555,0.185921857,..,67.965,33.8,..,144.305934,17.815,77.4,87.22355971,51.75956325,0.229603468,71.4182306,86,41.59072201,28.90995216,-1.129146099,-0.858153939,-0.718928397,-0.528574824,13.3,..,0.321841426
Nepal,2014,22731612922,6.011482843,827.7447084,10.647,8.364154697,0.133746237,45.98264161,,27462106,0.293747924,..,68.085,32.4,..,141.9366322,18.182,84.9,87.75332524,55.12480762,0.26548583,75.11797417,84,41.59072201,33.17307663,-0.72459954,-0.847787738,-0.649084508,-0.430445671,15.44,..,0.719637873
Nepal,2015,24360801287,3.976053272,882.3076616,10.655,7.868908956,0.213029528,46.66573039,,27610325,0.53827062,..,67.456,31,..,142.9910284,18.557,82,88.27558063,58.55299334,0.2661613,70.93619553,85.2,41.59072201,32.38095093,-0.997430027,-0.831647515,-0.692901909,-0.415430844,17.5816,..,0.635275667
Nepal,2016,24524109484,0.433113719,880.2248936,10.684,8.79034332,0.432212944,42.11548612,,27861186,0.904474047,..,68.776,29.7,65.50100708,143.414505,18.942,90.7,88.79020539,62.04347519,0.389925971,72.40748542,79.4,41.59072201,22.38095284,-0.846989989,-0.789327502,-0.810879767,-0.251382679,20.7,..,0.822554673
Nepal,2017,28971588940,8.977279356,1027.965477,10.66,3.627096107,0.677439884,44.64241062,,28183426,1.149953723,..,68.91,28.4,..,140.8214111,19.336,86.6,89.29699309,65.59537452,0.47439229,64.64427161,76.8,41.59072201,23.80952454,-0.5841012,-0.740814745,-0.694215536,-0.19951579,24.3,..,1.184259948
Nepal,2018,33111525237,7.622376104,1161.534352,10.63,4.061163388,0.206157202,48.44738695,,28506712,1.140549365,..,68.979,27.2,..,..,19.74,93.9,89.79577585,69.20789092,0.536031655,64.21083228,75,41.59072201,27.1428566,-0.542416573,-0.775707901,-0.491404861,-0.129691318,28.6,..,0.630576368
Nepal,2019,34186180699,6.657055431,1185.682318,10.578,5.568685478,0.54280198,49.24952659,,28832496,1.136351607,..,69.558,26,68.71250153,136.6656647,20.153,89.9,90.28636635,72.88012795,0.481671791,57.27501793,78.2,41.59072201,27.1428566,-0.452942908,-0.735730886,-0.553631186,-0.150054276,34.8055,..,1.074529846
Nepal,2020,33433659301,-2.369620629,1139.189895,13.157,5.052366553,0.378739091,40.9188656,,29348627,1.774268056,..,69.246,24.9,..,121.1866837,20.576,89.9,90.76858353,76.61121214,0.510153337,45.72077064,73.1,41.59072201,29.04761887,-0.180229142,-0.735240161,-0.512035429,-0.084038779,37.6984,..,2.448800144
Nepal,2021,36924841394,4.838149614,1229.394204,12.315,4.149680034,0.531690907,43.05380479,,30034989,2.311723712,..,68.45,23.9,71.15000153,118.3385537,21.008,89.9,91.24225081,80.40022366,0.524208615,..,73.7,41.59072201,32.38095093,-0.188807815,-0.642471373,-0.48886165,-0.084464759,41.6083,..,1.247831571
Nepal,2022,41182939601,5.631314559,1348.15719,10.922,7.650791768,0.158939274,48.97340148,30,30547580,1.692246601,0.4,70.484,23,..,118.8039516,21.451,91.3,91.23509651,80.39270303,0.518774319,..,..,..,33.96226501,-0.251907498,-0.650234938,-0.448678464,-0.0491594,49.5609,..,0.538949755
Nepal,2023,40908073367,1.952544633,1324.031984,10.685,7.114759517,0.180483792,41.63749471,,30896590,1.136035375,..,..,..,..,122.9840624,21.903,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
